,cell_line_name,tissue_name
19037,A-673,bone
21614,EW-8,bone
21746,TC-32,bone
23603,TC-71,bone
41522,SF-268,brain
47580,SF-295,brain
54827,SF-539,brain
60764,SNB-19,brain
66061,SNB-75,brain
71861,U251,brain
77810,T98G,brain
80358,SU-DIPG-XIII,brain
80448,DIPG25,brain
87417,JHH-136,brain
88115,JHH-520,brain
120249,KMSIIFGF,brain
120276,KMSIIHIGH4547,brain
120303,U3005MG,brain
120323,U3013MG,brain
120343,U3024MG,brain
120358,U3034MG,brain
120378,U3068MG,brain
120398,BT-549,breast
126580,EFM192B,breast
129001,HS 578T,breast
135329,KPL1,breast
138527,MCF7,breast
145196,MDA-MB-231,breast
151451,MDAMB436,breast
154386,MDA-MB-468,breast
161097,OCUBM,breast
163694,T-47D,breast
172560,ZR751,breast
178324,BT-20,breast
179545,BT-474,breast
181060,CAL-120,breast
181871,CAL-148,breast
183204,CAL-51,breast
184188,CAMA-1,breast
185722,DU4475,breast
186918,Evsa-T,breast
187898,HCC1143,breast
188537,HCC1187,breast
189653,HCC1395,breast
190775,HCC1419,breast
192116,HCC1428,breast
192953,HCC1500,breast
193967,HCC1569,breast
195062,HCC1806,breast
196095,HCC1937,breast
197162,HCC1954,breast
200258,HCC38,breast
200784,HCC70,breast
203362,KPL-4,breast
205357,MDA-MB-157,breast
206002,MDA-MB-175-VII,breast
207584,MDA-MB-361,breast
208688,MDA-MB-415,breast
209700,MDA-MB-453,breast
210228,MFM-223,breast
211399,SK-BR-3,breast
211841,SUM149PT,breast
212698,SUM52PE,breast
212781,SW527,breast
213511,UACC-812,breast
215048,4T1,breast
215075,HCC1428-LTED,breast
215215,ZR75-LTED,breast
215355,4T1FGF,breast
215382,CAL120FGF,breast
215409,MCF7F10016,breast
215982,MCF7F10016FGF,breast
216009,MCF7F1003,breast
216405,MCF7F1003FGF,breast
216432,MCF7NFGF,breast
216459,MCF7SHIODA,breast
216626,MCF7T52,breast
217022,MDAMB134V1,breast
217470,MDAMB134V1FGF,breast
217497,SUM52PEFGF,breast
217524,SUM52PEHIGH4547,breast
217551,ZR751FGF,breast
221749,KB-3-1,endometrium
221783,KB-ChR-8-5-11,endometrium
237950,CCRF-CEM,haematopoietic_and_lymphoid
243420,HL-60(TB),haematopoietic_and_lymphoid
248360,K-562,haematopoietic_and_lymphoid
254366,MOLT-4,haematopoietic_and_lymphoid
259723,RPMI-8226,haematopoietic_and_lymphoid
265551,SR,haematopoietic_and_lymphoid
271450,KBM-7,haematopoietic_and_lymphoid
311610,TMD8,haematopoietic_and_lymphoid
312791,HDLM-2,haematopoietic_and_lymphoid
313541,L-1236,haematopoietic_and_lymphoid
316359,L-428,haematopoietic_and_lymphoid
317260,U-HO1,haematopoietic_and_lymphoid
321489,ED-40515,haematopoietic_and_lymphoid
364065,KMS-11,haematopoietic_and_lymphoid
485859,786-0,kidney
491807,A498,kidney
499078,ACHN,kidney
505087,CAKI-1,kidney
511003,RXF 393,kidney
516430,SN12C,kidney
521906,TK-10,kidney
527465,UO-31,kidney
546039,VeroE6,kidney
546506,COLO 205,large_intestine
554010,COLO320DM,large_intestine
556426,DLD1,large_intestine
559219,HCC-2998,large_intestine
564577,HCT116,large_intestine
573092,HCT-15,large_intestine
579123,HT29,large_intestine
587672,KM12,large_intestine
593660,LOVO,large_intestine
596761,RKO,large_intestine
599982,SW-620,large_intestine
609991,SW837,large_intestine
618639,HCA7,large_intestine
622851,LS174T,large_intestine
625164,LS513,large_intestine
628199,NCI-H747,large_intestine
637279,SW403,large_intestine
638121,SW48,large_intestine
638980,SW948,large_intestine
639815,C32 [Human colon adenocarcinoma],large_intestine
639891,C75,large_intestine
639967,CC20 [Human colon adenocarcinoma],large_intestine
640018,NCI-H548,large_intestine
643666,Huh-7,liver
654530,A427,lung
657169,A549,lung
664051,EKVX,lung
669883,HOP-62,lung
675761,HOP-92,lung
681587,MSTO,lung
684607,NCIH1650,lung
687529,NCIH2122,lung
690648,NCI-H226,lung
696753,NCIH23,lung
705308,NCI-H322M,lung
710799,NCI-H460,lung
719556,NCIH520,lung
723163,NCI-H522,lung
729103,SKMES1,lung
734637,Calu-3,lung
735466,Calu-6,lung
741590,DMS 114,lung
769899,NCI-H1299,lung
775101,NCI-H1437,lung
776376,NCI-H1563,lung
783176,NCI-H1703,lung
786408,NCI-H1793,lung
792033,NCI-H1975,lung
796530,NCI-H2085,lung
800277,NCI-H2126,lung
801887,NCI-H2170,lung
804676,NCI-H2228,lung
806021,NCI-H2291,lung
809269,NCI-H3122,lung
809857,NCI-H322,lung
811173,NCI-H358,lung
820286,NCI-H838,lung
830158,SW900,lung
831536,Hx147,lung
831627,PC-9,lung
831718,DMS114FGF,lung
831745,NCIH1703FGF,lung
831772,NCIH520FGF,lung
831799,967 WT,malaria
831939,DuckCelt-T17,malaria
832079,Mak,malaria
832294,3D7,malaria
837608,HB3,malaria
843189,DD2,malaria
868030,A2780,ovary
871070,CAOV3,ovary
874080,ES2,ovary
